jersey,image,season,players,story,names
97. BASTIA (home),https://a.espncdn.com/photo/2020/0525/r701979_864x1296_2-3.jpg,Seasons worn: 1977-78,Notable players in this kit: Johnny Rep,"After pulling a transfer coup signing Netherlands winger Johnny Rep, who was as talented as his name was awesome, the former Ajax and Valencia star helped Corsican club Bastia make a surprise appearance in the 1978 UEFA Cup final. They lost to PSV Eindhoven, but their crest was now recognised across Europe thanks to it being worn proudly across the players' chests.",Johnny Rep
98. REAL MADRID (away),https://a.espncdn.com/photo/2020/0525/r701969_864x1296_2-3.jpg,Seasons worn: 2011-12,"Notable players in this kit: Cristiano Ronaldo (pictured), Sergio Ramos, Karim Benzema, Mesut Ozil","Any kit with gold is going to catch our eye. Real always seem to produce good away kits, but this sleek black effort with those iconic three Adidas stripes in gold is among the best. The club's monogram on the socks is a nice touch, too.",
101. SENEGAL (home),https://a.espncdn.com/photo/2020/0528/r703100_864x1296_2-3.jpg,Seasons worn: African Nations Cup 2017,"Notable players in this kit: Sadio Mane (pictured), Kalidou Koulibaly, Keita Balde","UAE-based kit manufacturer Romai only made one set of kits for Senegal in their short-lived deal, but this 2017 jersey, with its roaring lion on the shoulder, is a beauty. The lion is a nod to the team's nickname ""Les Lions de la Teranga,"" Teranga being a word used in Senegal that means hospitality, warmth and selflessness. Mane & Co. went out in the quarterfinals to Cameroon.",UAE
11. ARGENTINA (home),https://a.espncdn.com/photo/2020/0527/r702655_864x1296_2-3.jpg,Seasons worn: World Cup 1982,"Notable players in this kit: Ossie Ardiles (pictured), Diego Maradona, Mario Kempes, Daniel Passarella","Not a vintage World Cup for defending champions Argentina, as they were knocked out in the second group stage, but the kit they wore doing so was their best. The Albiceleste (white and sky blue) stripes had a new Argentina crest for that tournament and, unusually, squad numbers assigned in alphabetical order. Attacking midfielder Ossie Ardiles was No. 1 and goalkeeper Ubaldo Fillol took No. 7. A 21-year-old Maradona should have been No. 12 but was given his preferred No. 10, with Patricio Hernandez having to give that up.",Ubaldo Fillol
12. JUVENTUS (away),https://a.espncdn.com/photo/2020/0525/r701925_864x1296_2-3.jpg,Seasons worn: 1995-96,"Notable players in this kit: Fabrizio Ravanelli (pictured), Alessandro Del Piero, Gianluca Vialli, Antonio Conte","It's a tradition in Italian football that when you've won your 10th Serie A title you get to have a golden star on your jersey. Most teams put them modestly above their badge, but when you're as confident as Juventus, why not slap giant stars on your shoulders? That's exactly what shirt makers Kappa did for two seasons from 1994 to 1996, a spell where they won four trophies, including the Champions League in 1996. That shirt, with Sony replacing Danone as shirt sponsor, and the Scudetto badge under two more little gold stars rather than the Juventus logo, was sheer perfection.",Juventus
13. NEWCASTLE UNITED (home),https://a.espncdn.com/photo/2020/0527/r702654_864x1296_2-3.jpg,Seasons worn: 1995-97,"Notable players in this kit: David Ginola (pictured), Alan Shearer, David Batty, Les Ferdinand, Faustino Asprilla","There is so much to love about this shirt; the black-and-white ""bar code"" stripes, that button-up collar that went halfway down the shirt, the sponsorship by Newcastle Brown Ale. Newcastle twice came close to winning the Premier League in this kit, and it was also their home kit at the time when Kevin Keegan had *that* outburst live on TV. He, and Newcastle, were never quite the same after that, and neither were the Magpies' kits.",Newcastle Brown Ale
14. PARMA (home),https://a.espncdn.com/photo/2020/0527/r702653_864x1296_2-3.jpg,Seasons worn: 1998-99,"Notable players in this kit: Fabio Cannavaro (pictured), Juan Veron, Lilian Thuram, Hernan Crespo","Parma were historically a relatively small and unsuccessful Italian club, but they burst on to the scene in 1990 by landing promotion to the top flight for the first time. Over the next decade they won seven trophies including both the UEFA Cup and Coppa Italia in 1998-99, though this marked the first time they had ever worn yellow-and-blue hoops. Their traditional home kit of white shirts with blue-and-yellow trim or a navy cross was originally influenced by Juventus. But as the Turin giants had become their Serie A rivals in the '90s, Parma made the change, as they wanted to forge their own identity.",Parma
15. BOCA JUNIORS (Home),https://a.espncdn.com/photo/2020/0527/r702649_864x1296_2-3.jpg,Seasons worn: 1981-82,Notable players in this kit: Diego Maradona (pictured),"Maradona only spent one season at Boca Juniors at the start of his career (he would return toward the end), but what a season. He helped them to the Argentina title and a 3-0 win over archrivals River Plate in his first Superclasico. He did it all in this Adidas kit, with its thick yellow band, no sponsor and four stars bearing the initials ""CABJ"" (Club Atletico Boca Juniors). The club originally played in sky blue, but settled on blue and yellow in the early 20th century after taking inspiration from the Swedish flag flying on a ship docked in the Buenos Aires port of La Boca.",Maradona
16. BARCELONA (away),https://a.espncdn.com/photo/2020/0527/r702644_864x1296_2-3.jpg,Seasons worn: 1975-76,"Notable players in this kit: Johan Neeskens (pictured), Johan Cruyff","Back to Barcelona for this iconic away strip, which proudly displays the club's heritage with the colours of Catalonia's Senyera flag -- yellow, red and blue -- into a classic sash. This colour combination has been used a fair few times since, including another sash design this season, but the stripped-back '70s version with red-and-blue cuffs and no collar can't be beat.",Senyera
17. ITALY (home),https://a.espncdn.com/photo/2020/0527/r702636_2_864x1296_2-3.jpg,Seasons worn: Euro 2000,"Notable players in this kit: Alessandro Del Piero (pictured), Francesco Totti, Alessandro Nesta, Fabio Cannavaro, Paolo Maldini","The '90s was a decade of near-misses and disappointments for Italy on the pitch, but it gave them some incredible kits, and that continued into the new millennium with their much-hyped Euro 2000 shirts. The Azzurri went from Nike back to Italian brand Kappa, who started the trend for slimmer-fitting shirts with these skin-tight ""Kombat"" kits. The players all wore one size up to get a comfy fit and it nearly paid off as they reached the Euro 2000 final, but lost in extra time to world champions France.",Azzurri
